Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,U.s. political affiliation,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6562324b412013dde08aa9cc,5ec00f62cf12be40ea6fe344,APPROVED,2023-11-25T17:43:57.845000Z,2023-11-25T17:51:21.569000Z,2023-11-25T17:51:22.103000Z,2023-11-25T17:51:22.044519Z,444.0,C871QPIG,6439,Republican,English,49,Female,White,United States,United States,United States,English,No,Full-Time
6562325fdf7148db86006387,652bfb72d177004179b96ff4,APPROVED,2023-11-25T17:44:06.787000Z,2023-11-25T17:59:08.835000Z,2023-11-25T17:59:09.417000Z,2023-11-25T17:59:09.359862Z,903.0,C871QPIG,178,Republican,English,38,Male,Black,Nigeria,United States,United States,English,Yes,Full-Time
6562325f8b1bd5f742709dc3,60ccbffae161aadb1880ad6c,APPROVED,2023-11-25T17:44:02.733000Z,2023-11-25T17:59:27.227000Z,2023-11-25T17:59:27.715000Z,2023-11-25T17:59:27.652253Z,925.0,C871QPIG,5362,Republican,English,35,Female,White,United States,United States,United States,English,No,Full-Time
65623265ccad598917c97b8d,5c95493ddd325800166f838a,APPROVED,2023-11-25T17:44:11.606000Z,2023-11-25T17:52:41.391000Z,2023-11-25T17:52:42.012000Z,2023-11-25T17:52:41.947942Z,510.0,C871QPIG,3733,Republican,"Latvian, English, Russian",42,Female,White,Latvia,United States,United States,English,No,Full-Time
65623279d4e52464c5446ff4,606609111ba10f35596db018,APPROVED,2023-11-25T17:44:29.265000Z,2023-11-25T17:49:11.533000Z,2023-11-25T17:49:17.012000Z,2023-11-25T17:49:11.928442Z,283.0,C871QPIG,4728,Republican,English,63,Female,White,United States,United States,United States,English,No,Part-Time
65623282df7148db8600638c,5f456942485340144549178e,APPROVED,2023-11-25T17:47:26.041000Z,2023-11-25T17:55:58.831000Z,2023-11-25T17:55:59.389000Z,2023-11-25T17:55:59.326596Z,513.0,C871QPIG,4864,Republican,English,64,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
656232860a29143ccea92519,63d13c066352266a8621cc2a,APPROVED,2023-11-25T17:44:42.210000Z,2023-11-25T17:48:33.653000Z,2023-11-25T17:48:34.246000Z,2023-11-25T17:48:34.181405Z,232.0,C871QPIG,1908,Republican,English,39,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6562328cba9e145a221ed53f,646ae503018c43cc5e033ae6,APPROVED,2023-11-25T17:44:47.782000Z,2023-11-25T17:50:03.551000Z,2023-11-25T17:50:04.168000Z,2023-11-25T17:50:04.080138Z,316.0,C871QPIG,801,Republican,English,35,Male,White,United States,United States,United States,English,No,Part-Time
656232b36e59ef440f0063d2,6272b9dfc470a51d5fa0e6ea,APPROVED,2023-11-25T17:45:39.496000Z,2023-11-25T17:54:04.062000Z,2023-11-25T17:54:04.653000Z,2023-11-25T17:54:04.574089Z,505.0,C871QPIG,3206,Republican,English,40,Male,Asian,Korea,United States,United States,English,DATA_EXPIRED,Full-Time
656232f5df7148db8600639a,5e9fb21375fbf815d491d394,APPROVED,2023-11-25T17:46:32.321000Z,2023-11-25T17:52:36.389000Z,2023-11-25T17:52:36.932000Z,2023-11-25T17:52:36.864226Z,365.0,C871QPIG,1034,Republican,English,48,Female,White,United States,United States,United States,English,Yes,Full-Time
